Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE ALCOCER VARELA," Con su permiso, señor presidente. Muy buenos días a todas y a todos ustedes.",0.0,14,13,08,2024
JORGE ALCOCER VARELA,"Estamos preparando la bandera blanca para ubicarla en cada unidad del IMSS-Bienestar de México. El hoy se acerca, pero, sin duda, ese ayer que empezó fue muy aciago; se convertirá en un buen día para la salud de los mexicanos y en especial para aquellos sin seguridad social de 23 estados de nuestro país.",0.0,54,13,08,2024
JORGE ALCOCER VARELA,"Los avances, estado por estado, como ha sido ya la regla de las últimas semanas, de los últimos años, serán presentados por el maestro Zoé Robledo, y en este caso temas muy particulares como el reto de los médicos especialistas, de los médicos generales, que atiendan de lunes a domingo; de enfermería y desde luego el estado que guarda La Clínica es Nuestra.",0.0,63,13,08,2024
