Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOAQUIN LOPEZ-DORIGA," No, no, Héctor, no son piedritas, no, no, no; es una estrategia clara para impedir la concentración del domingo en el Zócalo si es que los de la coordinadora no se retiran.",0.0,32,22,05,2024
JOAQUIN LOPEZ-DORIGA," No, no, Héctor, no son piedritas, no, no, no; es una estrategia clara para impedir la concentración del domingo en el Zócalo si es que los de la coordinadora no se retiran.",0.0,32,22,05,2024
