Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HECTOR AGUILAR CAMIN, A mí me gusta una candidata que va…,0.0,8,14,02,2024
HECTOR AGUILAR CAMIN," A mí me gusta una candidata que va a los Estados Unidos habla con los medios, habla con los empresarios, le dice a la OEA que venga a observar la elección que está inclinada en México y hace su trabajo, y consigue muchísima prensa con eso; muy adversa, porque le viene la avalancha completa del provincianismo exigente e ignorante del presidente, un presidente que le ha tenido un miedo, un miedo provinciano al exterior.",0.0,74,14,02,2024
HECTOR AGUILAR CAMIN,"A mí me gusta que haya una candidata que vaya a España, se reúna con el PSOE, se reúna con el PP, con Vox no; vaya a la fundación La Libertad, de Vargas Llosa, y se codee y diga lo que piensa, y llame la atención de Europa sobre la barbaridad de la imposición, de la elección de Estado que está en camino en México. Me parece muy bien que lo haga.",0.0,72,14,02,2024
