Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ENRIQUE DE LA MADRID CORDERO," Lo que le toca al gobierno es invertir en las líneas de transmisión; pues no, no lo ha hecho.",0.0,19,15,05,2024
ENRIQUE DE LA MADRID CORDERO," Lo que le toca al gobierno es invertir en las líneas de transmisión; pues no, no lo ha hecho.",0.0,19,15,05,2024
